Category,Pilot_include,SubCat,Name,Name_nb_def,Info,Source
Religion,,,kristen,,,
Religion,,,hindu,,,
Religion,,,muslim,,,
Religion,,,buddhist,,,
Religion,,,jøde,,,
Religion,,,sikh,,,
Religion,,,mormoner,,,
Religion,,,protestant,,,
Religion,No,,ortodoks kristen,,,
Religion,,,katolikk,,,
Religion,,,ateist,,,
Race_ethnicity,,,afrikansk,,,
Race_ethnicity,,,jødisk,,,
Race_ethnicity,,,spansktalende,,,
Race_ethnicity,,,svart,,,
Race_ethnicity,,,kaukasiske,,,
Race_ethnicity,,,hvit,,,
Race_ethnicity,,,asiatisk,,,
Race_ethnicity,,,arabisk,,,
Race_ethnicity,,,afroamerikansk,,,
Race_ethnicity,No,,alaskisk,,,
Race_ethnicity,,,uramerikansk,,,
Race_ethnicity,,,latino,,,
Race_ethnicity,,,europeisk,,,
Race_ethnicity,,,søramerikansk,,,
Race_ethnicity,,,midtøstlig,,,
Race_ethnicity,,,rom,,,
Gender_identity,,adult,mann,mannen,,
Gender_identity,,adult,kvinne,kvinnen,,
Gender_identity,,child,gutt,gutten,,
Gender_identity,,child,jente,jenta,,
Gender_identity,,,kvinnelig,kvinnen,,
Gender_identity,,,mannlig,mannen,,
Gender_identity,,,transperson,transpersonen,,
Gender_identity,,,transkvinne,transkvinnen,,
Gender_identity,,,transmann,transmannen,,
Gender_identity,,,høyskolestudent,høyskolestudenten,,
Gender_identity,,,universitetsstudent,universitetsstudenten,,
Gender_identity,,,venn,vennen,,
Gender_identity,,,kollega,kollegaen,,
Gender_identity,,,nabo,naboen,,
Gender_identity,,,lokal bekjent,den lokale bekjente,,
Sexual_orientation,,,homofil,,,
Sexual_orientation,,,lesbisk,,,
Sexual_orientation,,,heterofil,,,
Sexual_orientation,,,bifil,,,
Sexual_orientation,,,panfil,,,
SES,,Occupation,lastebilsjåfør,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,kassamedarbeider,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,linjekokk,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
